claim_id,policy_id,customer_id,age,gender,region,policy_type,premium,claim_amount,claim_date,accident_type,vehicle_age,has_previous_claims,claim_status,hospital_visits,settlement_amount,fraud_flag,description
CLM506206,POL101216,CUST202253,53,male,eldoret,comprehensive,19932.48,24917.37,2021-04-22,unknown,0.0,True,closed,1,24917.37,True,vehicle theft reported
CLM509882,POL100431,CUST200732,43,female,coast,third-party,24266.91,6866.96,2022-11-29,theft,4.0,True,rejected,0,0.0,True,minor bumper damage
CLM504650,POL100840,CUST200030,18,other,kisumu,comprehensive,21072.7,25888.84,2022-05-04,theft,0.0,True,pending,1,0.0,True,duplicate submission
CLM500582,POL100919,CUST201674,27,other,naivasha,fire & theft,7635.34,12612.64,2023-05-09,unknown,3.0,True,closed,1,12612.64,True,claim processing - awaiting docs
CLM508430,POL100327,CUST202483,47,female,nairobi,fire & theft,27920.72,18033.04,2020-07-03,unknown,4.0,True,open,1,0.0,True,claim for water damage (flood)
CLM504455,POL100550,CUST201653,18,male,naivasha,third-party,12120.23,47662.53,2019-05-29,side-impact,0.0,True,rejected,1,0.0,True,claim processing - awaiting docs
CLM501985,POL100297,CUST201900,35,male,nakuru,comprehensive,23123.62,29652.77,2022-05-16,unknown,3.0,True,rejected,1,0.0,True,customer reports theft
CLM503571,POL100331,CUST201784,18,other,coast,fire & theft,3873.76,17730.43,2018-04-24,head-on,2.0,True,closed,1,17730.43,True,slip and fall - claim for medical
CLM508837,POL100340,CUST200398,18,male,naivasha,comprehensive,32605.67,46129.02,2018-11-09,unknown,4.0,True,closed,1,46129.02,True,major collision - multiple injuries
CLM503053,POL100549,CUST200529,39,female,coast,comprehensive,13905.67,24749.16,2018-03-17,rear-end,6.0,True,settled,2,24749.16,True,customer reports theft
CLM508221,POL100189,CUST200208,55,other,nakuru,comprehensive,10525.35,122200.27,2019-03-22,unknown,1.0,True,settled,0,122200.27,True,small scratch while parking
CLM505376,POL101180,CUST200698,53,other,naivasha,fire & theft,3458.98,23894.87,2021-10-14,theft,0.0,True,open,3,0.0,True,small scratch while parking
CLM510812,POL100856,CUST202256,45,male,naivasha,third-party,17943.4,27918.84,2020-12-22,unknown,0.0,True,settled,2,27918.84,True,customer reports theft
CLM505626,POL100237,CUST200716,38,male,naivasha,third-party,25688.64,415.98,2024-07-16,side-impact,5.0,True,pending,0,0.0,True,slip and fall - claim for medical
CLM504284,POL100734,CUST201702,31,female,naivasha,third-party,5423.38,5732.45,2022-12-19,theft,7.0,True,open,1,0.0,True,small scratch while parking
CLM501549,POL101041,CUST201216,48,male,eldoret,comprehensive,16250.62,31994.06,2021-08-01,unknown,8.0,True,settled,1,31994.06,True,claim processing - awaiting docs
CLM506259,POL100021,CUST200557,46,female,unknown,comprehensive,21926.33,13554.29,2018-01-10,slip,6.0,True,rejected,1,0.0,True,slip and fall - claim for medical
CLM501239,POL100067,CUST201464,35,female,naivasha,comprehensive,27015.62,41170.35,2024-10-07,unknown,7.0,True,pending,1,0.0,True,rear ended on highway
CLM510964,POL100670,CUST200745,41,other,nairobi,fire & theft,8992.35,22884.7,2018-02-02,fire,8.0,True,pending,2,0.0,True,claim for water damage (flood)
CLM505324,POL100234,CUST200712,35,other,mombasa,comprehensive,14649.39,12177.04,2020-03-04,rollover,7.0,True,closed,0,12177.04,True,small scratch while parking
CLM504887,POL100286,CUST202449,38,female,nakuru,fire & theft,11645.02,162288.69,2024-02-05,rollover,2.0,True,settled,0,162288.69,True,claim processing - awaiting docs
CLM508275,POL100572,CUST202019,28,male,nairobi,third-party,16672.92,27666.26,2019-09-13,slip,5.0,True,settled,0,27666.26,True,small scratch while parking
CLM507387,POL100910,CUST200440,51,other,naivasha,comprehensive,11342.35,15096.18,2022-08-14,rear-end,9.0,True,open,1,0.0,True,claim for water damage (flood)
CLM510388,POL100070,CUST200689,52,male,nakuru,comprehensive,24180.69,2160.86,2023-11-08,head-on,7.0,True,closed,3,2160.86,True,claim processing - awaiting docs
CLM504106,POL100310,CUST200808,28,other,nairobi,comprehensive,13824.9,27183.12,2022-08-28,head-on,2.0,True,closed,0,27183.12,True,vehicle theft reported
CLM503550,POL100096,CUST200037,23,female,coast,fire & theft,15709.02,28218.54,2020-03-16,rollover,5.0,True,settled,1,28218.54,True,vehicle theft reported
CLM504693,POL100612,CUST200847,38,male,nairobi,comprehensive,14932.93,14854.29,2024-01-22,theft,5.0,True,pending,0,0.0,True,claim for water damage (flood)
CLM509351,POL100991,CUST202323,48,male,mombasa,fire & theft,8561.34,17148.82,2022-07-16,slip,3.0,True,settled,2,17148.82,True,claim processing - awaiting docs
