claim_id,policy_id,customer_id,age,gender,region,policy_type,premium,claim_amount,claim_date,accident_type,vehicle_age,has_previous_claims,claim_status,hospital_visits,settlement_amount,fraud_flag,description
CLM506206,POL101216,CUST202253,53,male,eldoret,Comprehensive,19932.48,24917.37,"Apr 22, 2021",unknown,0,0,Closed,1,14611.14,no,Vehicle theft reported
CLM509882,POL100431,CUST200732,43,FEMALE, coast,Third party,24266.91,6866.96,2022/11/29,theft,,0,Rejected,0,4094.34,Yes,Minor bumper damage
CLM504650,POL100840,CUST200030,18,Unknown,Kisumu,Comprehensive,21072.7,25888.84,2022/05/04,theft,0,Yes,pending,1,17317.54,No,duplicate submission
CLM500582,POL100919,CUST201674,27,,naivasha,Fire & Theft,7635.34,12612.64,"May 09, 2023",unknown,3,0,Closed,1,9556.93,yes,Claim processing - awaiting docs
CLM508430,POL100327,CUST202483,47,F,nairobi,Fire & Theft,27920.72,18033.04,2020/07/03,Unknown,4,1,Open,1,13145.76,Yes,Claim for water damage (flood)
CLM504455,POL100550,CUST201653,18,male,naivasha,Third-Party,12120.23,47662.53,2019/05/29,Side-impact,0,0,Rejected,1,39449.72,,Claim processing - awaiting docs
CLM501985,POL100297,CUST201900,35,male,Nakuru,Comprehensive,23123.62,29652.77,"May 16, 2022",unknown,3,no,Rejected,1,29652.77,No,customer reports theft
CLM503571,POL100331,CUST201784,18,Unknown,Coast,Fire & Theft,3873.76,17730.43,24-04-2018,Head-on,2,,Closed,1,14476.21,1,Slip and fall - claim for medical
CLM508837,POL100340,CUST200398,18,male,naivasha,Comprehensive,32605.67,46129.02,2018/11/09,unknown,4,No,Closed,1,25767.28,Yes,Major collision - multiple injuries
CLM503053,POL100549,CUST200529,39,F, coast,Comprehensive ,13905.67,24749.16,2018/03/17,Rear-end,6,,Settled ,2,23566.87,1,customer reports theft
CLM508221,POL100189,CUST200208,55,,Nakuru,Comprehensive ,10525.35,122200.27,22-03-2019,unknown,1,Yes,Settled ,0,122200.27,no,Small scratch while parking
CLM505376,POL101180,CUST200698,53,,naivasha,fire & theft,3458.98,23894.87,2021/10/14,theft,0,1,Open,3,14617.26,no,Small scratch while parking
CLM510812,POL100856,CUST202256,45,Male,Naivasha,Third party,17943.4,27918.84,"Dec 22, 2020",Unknown,0,No,Settled ,2,27918.84,no,customer reports theft
CLM505626,POL100237,CUST200716,38,Male,Naivasha,Third-Party,25688.64,415.98,2024/07/16,Side-impact,5,No,pending,0,178.72,yes,Slip and fall - claim for medical
CLM504284,POL100734,CUST201702,31,FEMALE,Naivasha,Third party,5423.38,5732.45,19-12-2022,theft,7,No,Open,1,4264.73,0,Small scratch while parking
CLM501549,POL101041,CUST201216,48,male,eldoret,Comprehensive,16250.62,31994.06,"Aug 01, 2021",Unknown,8,No,Settled ,1,20185.59,No,Claim processing - awaiting docs
CLM506259,POL100021,CUST200557,46,FEMALE,,Comprehensive,21926.33,13554.29,"Jan 10, 2018",Slip,6,yes,Rejected,1,12639.47,,Slip and fall - claim for medical
CLM501239,POL100067,CUST201464,35,FEMALE,Naivasha,Comprehensive,27015.62,41170.35,"Oct 07, 2024",unknown,7,Yes,pending,1,16031.44,Yes,Rear ended on highway
CLM510964,POL100670,CUST200745,41,,nairobi,Fire & Theft,8992.35,22884.7,"Feb 02, 2018",Fire,8,No,pending,2,21415.81,,Claim for water damage (flood)
CLM505324,POL100234,CUST200712,35,,mombasa,Comprehensive,14649.39,12177.04,"Mar 04, 2020",rollover,7,0,closed,0,8426.82,no,Small scratch while parking
CLM504887,POL100286,CUST202449,38,FEMALE,Nakuru,fire & theft,11645.02,162288.69,"Feb 05, 2024",rollover,2,0,Settled,0,106642.12,0,Claim processing - awaiting docs
CLM508275,POL100572,CUST202019,28,male,Nairobi ,Third party,16672.92,27666.26,2019/09/13,Slip,5,,Settled ,0,26727.65,Yes,Small scratch while parking
CLM507387,POL100910,CUST200440,51,Unknown,naivasha,Comprehensive ,11342.35,15096.18,14-08-2022,Rear-end,9,no,Open,1,9249.96,,Claim for water damage (flood)
CLM510388,POL100070,CUST200689,52,Male,nakuru,Comprehensive,24180.69,2160.86,11-08-2023,Head-on,7,,Closed,3,2160.86,no,Claim processing - awaiting docs
CLM504106,POL100310,CUST200808,28,Unknown,nairobi,Comprehensive ,13824.9,27183.12,"Aug 28, 2022",Head-on,2,no,Closed,0,26060.06,No,Vehicle theft reported
CLM503550,POL100096,CUST200037,23,Female, coast,Fire & Theft,15709.02,28218.54,"Mar 16, 2020",rollover,5,No,Settled ,1,12797.99,yes,Vehicle theft reported
CLM504693,POL100612,CUST200847,38,Male,NAIROBI,Comprehensive,14932.93,14854.29,2024/01/22,theft,5,,pending,0,14854.29,0,Claim for water damage (flood)
CLM509351,POL100991,CUST202323,48,Male,mombasa,Fire & Theft,8561.34,17148.82,16-07-2022,Slip,3,Yes,Settled,2,17148.82,yes,Claim processing - awaiting docs
CLM509255,POL100277,CUST202357,36,F,eldoret,Third-Party,21797.66,668.18,"Mar 07, 2020",Slip,3,Yes,Closed,1,624.79,No,Rear ended on highway
CLM504238,POL101056,CUST201368,27,Unknown,Nairobi ,N/A,14559.81,20336.73,"Jul 19, 2022",rollover,4,Yes,pending,1,7163.77,1,Claim processing - awaiting docs
CLM502513,POL100250,CUST200206,32,F,Eldoret,Comprehensive,1000,302869.79,"Dec 03, 2021",unknown,6,no,Settled ,3,192273.14,0,Fire damage in engine
